	SRR3174965_trimmed_size.fasta
hsa-mir-3163-5p	6
hsa-mir-663b-5p	6
hsa-mir-34c-5p	6
hsa-mir-663a-5p	6
hsa-mir-1243-5p	6
hsa-mir-219a-1-5p	6
hsa-mir-3688-2-3p	6
hsa-mir-450a-1-5p	6
hsa-mir-1224-5p	6
hsa-mir-146b-3p	6
hsa-mir-18a-5p	6
hsa-mir-3127-3p	6
hsa-mir-9899-3p	6
hsa-mir-3605-3p	6
hsa-mir-548aq-5p	6
hsa-mir-3916-5p	6
hsa-mir-4762-5p	6
hsa-mir-7851-3p	6
hsa-mir-449a-3p	6
hsa-mir-18a-3p	6
hsa-mir-4444-1-3p	6
hsa-mir-3934-5p	6
hsa-mir-3681-5p	6
hsa-mir-4755-3p	6
hsa-mir-489-3p	6
hsa-mir-30a-3p	6
hsa-mir-193b-5p	6
hsa-mir-4671-5p	6
hsa-mir-3611-3p	6
hsa-mir-466-5p	6
hsa-mir-1229-3p	6
hsa-mir-1227-3p	6
hsa-mir-4768-5p	6
hsa-mir-145-3p	6
hsa-mir-187-3p	6
hsa-mir-4785-3p	6
hsa-mir-624-3p	6
hsa-mir-5094-5p	6
hsa-mir-548ai-5p	6
hsa-mir-548c-3p	6
hsa-mir-491-5p	5
hsa-mir-4638-3p	5
hsa-mir-7847-3p	5
hsa-mir-181b-1-5p	5
hsa-mir-1257-5p	5
hsa-mir-501-5p	5
hsa-mir-1226-3p	5
hsa-mir-4713-5p	5
hsa-mir-3652-5p	5
hsa-mir-3145-5p	5
hsa-mir-4489-3p	5
hsa-mir-4424-5p	5
hsa-mir-6840-5p	5
hsa-mir-188-5p	5
hsa-mir-499a-5p	5
hsa-mir-766-3p	5
hsa-let-7g-3p	5
hsa-mir-548b-3p	5
hsa-mir-3146-5p	5
hsa-mir-5008-3p	5
hsa-mir-1915-3p	5
hsa-mir-4672-5p	5
hsa-mir-410-3p	5
hsa-mir-6747-3p	5
hsa-mir-3150a-5p	5
hsa-mir-548as-5p	5
hsa-mir-224-3p	5
hsa-mir-2114-5p	5
hsa-mir-4654-5p	5
hsa-mir-190b-5p	5
hsa-mir-103a-2-5p	5
hsa-mir-7108-3p	5
hsa-mir-365b-5p	5
hsa-mir-4440-5p	5
hsa-mir-2116-3p	5
hsa-mir-4485-5p	5
hsa-mir-628-3p	5
hsa-mir-1908-3p	5
hsa-mir-7703-3p	5
hsa-mir-4734-3p	5
hsa-mir-378b-3p	5
hsa-mir-943-3p	5
hsa-mir-548s-3p	5
hsa-mir-548d-2-5p	5
hsa-mir-1268b-3p	5
hsa-mir-1234-3p	5
hsa-mir-548d-1-5p	5
hsa-mir-939-5p	5
hsa-mir-941-4-5p	5
hsa-mir-874-3p	5
hsa-mir-5010-3p	5
hsa-mir-1909-3p	5
hsa-mir-3155a-3p	5
hsa-mir-3120-3p	5
hsa-mir-3165-5p	5
hsa-mir-3159-5p	5
hsa-mir-3942-3p	4
hsa-mir-204-5p	4
hsa-mir-586-5p	4
hsa-mir-655-5p	4
hsa-mir-548ak-5p	4
hsa-mir-3178-5p	4
hsa-mir-4519-5p	4
hsa-mir-1244-4-3p	4
hsa-mir-4797-3p	4
hsa-mir-503-5p	4
hsa-mir-579-3p	4
hsa-mir-4653-5p	4
hsa-mir-4781-3p	4
hsa-mir-663b-3p	4
hsa-mir-503-3p	4
hsa-mir-548an-5p	4
hsa-mir-3913-2-5p	4
hsa-mir-6794-3p	4
hsa-mir-4659a-3p	4
hsa-mir-3908-3p	4
hsa-mir-572-3p	4
hsa-mir-1255b-1-5p	4
hsa-mir-1256-5p	4
hsa-mir-588-5p	4
hsa-mir-4745-3p	4
hsa-mir-190a-5p	4
hsa-mir-3193-3p	4
hsa-mir-1273c-5p	4
hsa-mir-550b-1-3p	4
hsa-mir-10523-5p	4
hsa-mir-219a-1-3p	4
hsa-mir-4700-5p	4
hsa-mir-96-3p	4
hsa-mir-4694-3p	4
hsa-mir-6510-3p	4
hsa-mir-4512-3p	4
hsa-mir-195-3p	4
hsa-mir-376c-3p	4
hsa-mir-2467-3p	4
hsa-mir-1199-5p	4
hsa-mir-652-5p	4
hsa-mir-32-3p	3
hsa-mir-451a-5p	3
hsa-mir-675-5p	3
hsa-mir-153-1-5p	3
hsa-mir-4753-5p	3
