SRR3174965_trimmed_size.fasta,Count
hsa-mir-4326-3p,2
hsa-mir-7706-5p,2
hsa-mir-891a-5p,2
hsa-mir-5697-5p,2
hsa-mir-1915-5p,2
hsa-mir-4672-3p,2
hsa-mir-4747-5p,2
hsa-mir-7108-3p,2
hsa-mir-1224-5p,2
hsa-mir-548an-5p,2
hsa-mir-6803-3p,2
hsa-mir-1256-3p,2
hsa-mir-4465-3p,2
hsa-mir-6514-5p,2
hsa-mir-6529-5p,2
hsa-mir-1224-3p,2
hsa-mir-3194-5p,2
hsa-mir-4519-3p,2
hsa-mir-632-3p,2
hsa-mir-5706-5p,2
hsa-mir-940-5p,2
hsa-mir-15a-3p,2
hsa-mir-1258-5p,2
hsa-mir-6125-5p,2
hsa-mir-3129-3p,2
hsa-mir-491-3p,2
hsa-mir-134-5p,2
hsa-mir-3136-5p,2
hsa-mir-4726-5p,2
hsa-mir-3190-3p,2
hsa-mir-7977-5p,2
hsa-mir-1293-5p,2
hsa-mir-4797-3p,2
hsa-mir-3940-3p,2
hsa-mir-298-5p,2
hsa-mir-4687-5p,2
hsa-mir-4261-3p,2
hsa-mir-6799-3p,2
hsa-mir-4512-3p,2
hsa-mir-4464-3p,2
hsa-mir-4638-5p,2
hsa-mir-4720-5p,2
hsa-mir-639-5p,2
hsa-mir-6500-5p,2
hsa-mir-6847-3p,2
hsa-mir-5684-3p,2
hsa-mir-30b-3p,2
hsa-mir-6780a-3p,2
hsa-mir-4642-5p,2
hsa-mir-214-5p,2
hsa-mir-635-5p,2
