	Count
hsa-mir-7107-5p	13
hsa-mir-7108-5p	13
hsa-let-7d-3p	13
hsa-mir-6801-3p	13
hsa-mir-10523-5p	13
hsa-mir-4489	13
hsa-mir-4648	13
hsa-mir-5001-5p	13
hsa-mir-7845-5p	13
hsa-mir-6844	13
hsa-mir-6834-5p	13
hsa-mir-6750-3p	13
hsa-mir-4781-3p	13
hsa-mir-6851-5p	13
hsa-mir-6858-5p	13
hsa-mir-5684	12
hsa-mir-4492	12
hsa-mir-4444	12
hsa-mir-5588-5p	12
hsa-mir-4758-3p	12
hsa-mir-6832-3p	12
hsa-mir-1229-5p	12
hsa-mir-3692-5p	12
hsa-mir-127-3p	12
hsa-mir-4726-5p	12
hsa-mir-425-5p	12
hsa-mir-6806-3p	12
hsa-mir-6775-3p	12
hsa-mir-6834-3p	12
hsa-mir-939-3p	12
hsa-mir-6853-3p	12
hsa-mir-6831-5p	12
hsa-mir-106b-3p	12
hsa-mir-6843-3p	11
hsa-mir-196a-5p	11
hsa-mir-1273c	11
hsa-mir-4787-5p	11
hsa-mir-6881-5p	11
hsa-mir-92b-5p	11
hsa-mir-130a-3p	11
hsa-mir-222-5p	11
hsa-mir-3936	11
hsa-mir-7112-3p	11
hsa-mir-6884-5p	11
hsa-mir-140-3p	11
hsa-mir-409-5p	11
hsa-mir-1304-3p	11
hsa-mir-6797-5p	11
hsa-mir-30e-3p	11
hsa-mir-375-3p	11
hsa-mir-6852-3p	11
hsa-mir-4469	10
hsa-mir-1231	10
hsa-mir-30b-5p	10
hsa-mir-451a	10
hsa-mir-6083	10
hsa-mir-8078	10
hsa-mir-17-5p	10
hsa-mir-2117	10
hsa-mir-5047	10
hsa-mir-6728-5p	10
hsa-mir-4274	10
hsa-mir-200a-3p	10
hsa-mir-3666	10
hsa-mir-4645-3p	10
hsa-mir-4727-3p	10
